Time,Latitude,Longitude,counts
1713002988.69,0,0,21866.0
1713002990.73,0,0,55.0
1713002992.68,0,0,48.0
1713002994.66,0,0,48.0
1713002996.71,0,0,53.5
1713002998.68,0,0,63.5
1713003000.68,0,0,57.0
1713003002.68,0,0,60.5
1713003004.66,0,0,60.5
1713003006.68,0,0,56.0
1713003008.68,0,0,55.5
1713003010.68,0,0,53.0
1713003012.66,0,0,53.0
1713003014.68,0,0,65.5
1713003016.68,0,0,53.5
1713003018.68,0,0,51.5
1713003020.68,0,0,58.0
1713003022.66,0,0,58.0
1713003024.68,0,0,56.0
1713003026.68,0,0,54.5
1713003028.68,0,0,52.5
1713003030.68,0,0,60.5
1713003032.67,0,0,60.5
1713003034.68,0,0,50.5
1713003036.68,0,0,54.0
1713003038.68,0,0,51.5
1713003040.66,0,0,51.5
1713003042.68,0,0,49.5
1713003044.68,0,0,54.5
1713003046.68,0,0,47.5
1713003048.68,0,0,61.5
1713003050.66,0,0,61.5
1713003052.68,0,0,52.0
1713003054.68,0,0,62.5
1713003056.69,0,0,48.5
1713003058.68,0,0,56.5
1713003060.66,0,0,56.5
1713003062.68,0,0,65.5
1713003064.68,0,0,56.5
1713003066.69,0,0,54.5
1713003068.66,0,0,54.5
1713003070.68,0,0,55.0
1713003072.68,0,0,61.5
1713003074.68,0,0,50.0
1713003076.69,0,0,61.5
1713003078.66,0,0,61.5
1713003080.68,0,0,48.5
1713003082.68,0,0,64.0
1713003084.68,0,0,58.0
1713003086.7,0,0,57.0
1713003088.66,0,0,57.0
1713003090.69,0,0,51.5
1713003092.68,0,0,60.5
1713003094.68,0,0,50.0
1713003096.67,0,0,50.0
1713003098.68,0,0,56.0
1713003100.69,0,0,56.0
1713003102.68,0,0,57.5
1713003104.68,0,0,52.0
1713003106.66,0,0,52.0
1713003108.69,0,0,65.5
1713003110.68,0,0,51.0
1713003112.68,0,0,55.5
1713003114.66,0,0,55.5
1713003116.7,0,0,53.0
1713003118.68,0,0,53.0
1713003120.68,0,0,55.5
1713003122.68,0,0,53.0
1713003124.66,0,0,53.0
1713003126.69,0,0,55.0
1713003128.68,0,0,60.5
1713003130.69,0,0,55.0
1713003132.68,0,0,50.0
1713003134.67,0,0,50.0
1713003136.69,0,0,54.0
1713003138.68,0,0,58.0
1713003140.68,0,0,51.0
1713003142.66,0,0,51.0
1713003144.68,0,0,54.5
1713003146.68,0,0,58.5
1713003148.68,0,0,59.0
1713003150.68,0,0,56.0
1713003152.66,0,0,56.0
1713003154.68,0,0,53.0
1713003156.68,0,0,56.0
1713003158.68,0,0,68.5
1713003160.68,0,0,52.5
1713003162.66,0,0,52.5
1713003164.69,0,0,52.5
1713003166.68,0,0,57.0
1713003168.68,0,0,54.5
1713003170.67,0,0,54.5
1713003172.68,0,0,59.5
1713003174.68,0,0,48.0
1713003176.68,0,0,61.0
1713003178.68,0,0,61.0
1713003180.66,0,0,61.0
1713003182.68,0,0,47.0
1713003184.68,0,0,53.0
1713003186.68,0,0,59.0
1713003188.67,0,0,59.0
1713003190.69,0,0,52.0
1713003192.68,0,0,60.0
1713003194.68,0,0,54.5
1713003196.68,0,0,57.0
1713003198.66,0,0,57.0
1713003200.68,0,0,64.5
1713003202.69,0,0,49.0
1713003204.68,0,0,59.0
1713003206.68,0,0,48.5
1713003208.66,0,0,48.5
1713003210.68,0,0,52.0
1713003212.68,0,0,51.5
1713003214.68,0,0,58.5
1713003216.67,0,0,58.5
1713003218.68,0,0,56.5
1713003220.68,0,0,60.0
1713003222.68,0,0,55.5
1713003224.68,0,0,56.0
1713003226.67,0,0,56.0
1713003228.68,0,0,59.0
1713003230.68,0,0,53.5
1713003232.68,0,0,58.0
1713003234.68,0,0,66.0
1713003236.66,0,0,66.0
1713003238.68,0,0,52.0
1713003240.68,0,0,53.5
1713003242.68,0,0,55.5
1713003244.66,0,0,55.5
1713003246.68,0,0,59.0
1713003248.68,0,0,55.5
1713003250.68,0,0,57.5
1713003252.68,0,0,56.0
1713003254.67,0,0,56.0
1713003256.68,0,0,60.0
1713003258.68,0,0,56.0
1713003260.68,0,0,59.5
1713003262.68,0,0,57.5
1713003264.66,0,0,57.5
1713003266.68,0,0,55.0
1713003268.68,0,0,55.0
1713003270.68,0,0,52.0
1713003272.66,0,0,52.0
1713003274.68,0,0,61.5
1713003276.68,0,0,45.5
1713003278.69,0,0,67.0
1713003280.68,0,0,60.5
1713003282.67,0,0,60.5
1713003284.68,0,0,62.0
1713003286.68,0,0,46.5
1713003288.68,0,0,57.5
1713003290.66,0,0,57.5
1713003292.68,0,0,56.0
1713003294.68,0,0,59.5
1713003296.68,0,0,51.0
1713003298.68,0,0,59.0
1713003300.66,0,0,59.0
1713003302.68,0,0,65.5
1713003304.68,0,0,54.5
1713003306.68,0,0,59.0
1713003308.68,0,0,55.0
1713003310.66,0,0,55.0
1713003312.68,0,0,53.5
1713003314.68,0,0,53.0
1713003316.69,0,0,62.5
1713003318.66,0,0,62.5
1713003320.69,0,0,54.5
1713003322.68,0,0,54.5
1713003324.68,0,0,60.5
1713003326.68,0,0,66.5
1713003328.66,0,0,66.5
1713003330.68,0,0,60.5
1713003332.68,0,0,55.5
1713003334.68,0,0,56.5
1713003336.68,0,0,65.5
1713003338.66,0,0,65.5
1713003340.68,0,0,56.0
1713003342.68,0,0,52.5
1713003344.68,0,0,55.5
1713003346.66,0,0,55.5
1713003348.68,0,0,62.0
1713003350.68,0,0,62.0
1713003352.68,0,0,45.5
1713003354.68,0,0,56.5
1713003356.66,0,0,56.5
1713003358.68,0,0,50.0
1713003360.68,0,0,51.0
1713003362.68,0,0,54.0
1713003364.68,0,0,51.0
1713003366.66,0,0,51.0
1713003368.68,0,0,53.5
1713003370.68,0,0,57.5
1713003372.68,0,0,67.0
1713003374.66,0,0,67.0
1713003376.69,0,0,55.0
1713003378.69,0,0,61.5
1713003380.68,0,0,56.0
1713003382.68,0,0,59.5
1713003384.68,0,0,59.5
1713003386.69,0,0,53.5
1713003388.68,0,0,40.0
1713003390.68,0,0,53.0
1713003392.68,0,0,56.0
1713003394.66,0,0,56.0
1713003396.69,0,0,59.0
1713003398.68,0,0,60.5
1713003400.68,0,0,51.0
1713003402.66,0,0,51.0
1713003404.68,0,0,56.0
1713003406.69,0,0,52.0
1713003408.68,0,0,47.0
1713003410.68,0,0,65.0
1713003412.66,0,0,65.0
1713003414.68,0,0,64.5
1713003416.68,0,0,58.0
1713003418.68,0,0,57.0
1713003420.66,0,0,57.0
1713003422.68,0,0,55.5
1713003424.68,0,0,54.5
1713003426.68,0,0,54.0
1713003428.68,0,0,47.5
1713003430.67,0,0,47.5
1713003432.68,0,0,54.0
1713003434.68,0,0,55.5
1713003436.68,0,0,61.0
1713003438.68,0,0,48.5
1713003440.66,0,0,48.5
1713003442.68,0,0,56.0
1713003444.68,0,0,55.0
1713003446.68,0,0,53.0
1713003448.66,0,0,53.0
1713003450.68,0,0,61.0
1713003452.68,0,0,49.5
1713003454.68,0,0,66.5
1713003456.68,0,0,55.0
1713003458.67,0,0,55.0
1713003460.68,0,0,53.0
1713003462.68,0,0,52.0
1713003464.68,0,0,61.0
1713003466.68,0,0,45.5
1713003468.66,0,0,45.5
1713003470.68,0,0,55.0
1713003472.68,0,0,61.5
1713003474.68,0,0,56.5
1713003476.66,0,0,56.5
1713003478.68,0,0,49.5
1713003480.68,0,0,51.5
1713003482.68,0,0,50.0
1713003484.68,0,0,54.0
1713003486.66,0,0,54.0
1713003488.68,0,0,56.0
1713003490.68,0,0,54.5
1713003492.68,0,0,55.5
1713003494.68,0,0,58.0
1713003496.66,0,0,58.0
1713003498.68,0,0,55.5
1713003500.68,0,0,56.0
1713003502.68,0,0,60.5
1713003504.66,0,0,60.5
1713003506.68,0,0,49.0
1713003508.68,0,0,51.5
1713003510.68,0,0,60.5
1713003512.68,0,0,58.0
1713003514.67,0,0,58.0
1713003516.68,0,0,60.5
1713003518.68,0,0,53.5
1713003520.68,0,0,67.5
1713003522.66,0,0,67.5
1713003524.68,0,0,42.5
1713003526.68,0,0,55.0
1713003528.68,0,0,46.5
1713003530.68,0,0,51.5
1713003532.68,0,0,51.5
1713003534.68,0,0,53.5
1713003536.68,0,0,56.0
1713003538.68,0,0,51.0
1713003540.68,0,0,60.5
1713003542.66,0,0,60.5
1713003544.68,0,0,56.5
1713003546.68,0,0,61.0
1713003548.68,0,0,57.0
1713003550.66,0,0,57.0
1713003552.68,0,0,61.0
1713003554.68,0,0,53.0
1713003556.69,0,0,65.5
1713003558.69,0,0,49.0
1713003560.66,0,0,49.0
1713003562.68,0,0,55.5
1713003564.68,0,0,45.5
1713003566.68,0,0,47.5
1713003568.68,0,0,58.0
1713003570.66,0,0,58.0
1713003572.68,0,0,59.5
1713003574.68,0,0,52.0
1713003576.68,0,0,67.0
1713003578.67,0,0,67.0
1713003580.69,0,0,58.5
1713003582.69,0,0,60.0
1713003584.68,0,0,55.5
1713003586.68,0,0,63.0
1713003588.66,0,0,63.0
1713003590.68,0,0,55.5
1713003592.68,0,0,64.5
1713003594.69,0,0,60.0
1713003596.68,0,0,59.0
1713003598.66,0,0,59.0
1713003600.68,0,0,51.0
1713003602.68,0,0,55.0
1713003604.68,0,0,53.0
1713003606.66,0,0,53.0
1713003608.68,0,0,59.0
1713003610.68,0,0,56.0
1713003612.68,0,0,52.0
1713003614.68,0,0,54.5
1713003616.67,0,0,54.5
1713003618.68,0,0,56.0
1713003620.68,0,0,57.5
1713003622.68,0,0,61.5
1713003624.66,0,0,61.5
1713003626.68,0,0,53.5
1713003628.69,0,0,58.5
1713003630.68,0,0,54.5
1713003632.68,0,0,59.5
1713003634.66,0,0,59.5
1713003636.69,0,0,59.5
1713003638.69,0,0,52.5
1713003640.68,0,0,67.5
1713003642.68,0,0,63.0
1713003644.66,0,0,63.0
1713003646.68,0,0,56.5
1713003648.69,0,0,58.5
1713003650.68,0,0,53.5
1713003652.67,0,0,53.5
1713003654.68,0,0,61.5
1713003656.69,0,0,48.5
1713003658.7,0,0,66.5
1713003660.68,0,0,46.0
1713003662.67,0,0,46.0
1713003664.68,0,0,57.5
1713003666.69,0,0,52.5
1713003668.69,0,0,49.5
1713003670.66,0,0,49.5
1713003672.68,0,0,60.5
1713003674.69,0,0,57.5
1713003676.68,0,0,56.5
1713003678.69,0,0,56.0
1713003680.68,0,0,56.0
1713003682.68,0,0,60.0
1713003684.68,0,0,55.0
1713003686.68,0,0,52.5
1713003688.7,0,0,62.0
1713003690.66,0,0,62.0
1713003692.69,0,0,58.0
1713003694.69,0,0,48.5
1713003696.68,0,0,56.0
1713003698.68,0,0,56.0
1713003700.68,0,0,51.0
1713003702.7,0,0,48.0
1713003704.68,0,0,47.0
1713003706.68,0,0,52.0
1713003708.67,0,0,52.0
1713003710.68,0,0,58.5
1713003712.69,0,0,59.0
1713003714.68,0,0,54.5
1713003716.68,0,0,59.0
1713003718.67,0,0,59.0
1713003720.68,0,0,53.5
1713003722.68,0,0,54.0
1713003724.68,0,0,63.5
1713003726.67,0,0,63.5
1713003728.68,0,0,46.0
1713003730.68,0,0,56.0
1713003732.68,0,0,56.5
1713003734.69,0,0,56.5
1713003736.67,0,0,56.5
1713003738.68,0,0,57.0
1713003740.68,0,0,57.5
1713003742.68,0,0,55.5
1713003744.68,0,0,60.0
1713003746.66,0,0,60.0
1713003748.69,0,0,58.0
1713003750.68,0,0,58.5
1713003752.68,0,0,62.0
1713003754.66,0,0,62.0
1713003756.68,0,0,53.0
1713003758.69,0,0,62.5
1713003760.68,0,0,61.0
1713003762.68,0,0,51.5
1713003764.66,0,0,51.5
1713003766.68,0,0,64.0
1713003768.69,0,0,55.0
1713003770.68,0,0,61.0
1713003772.67,0,0,61.0
1713003774.68,0,0,59.0
1713003776.68,0,0,50.5
1713003778.69,0,0,52.5
1713003780.68,0,0,64.0
1713003782.66,0,0,64.0
1713003784.68,0,0,56.0
1713003786.68,0,0,54.5
1713003788.69,0,0,51.0
1713003790.69,0,0,51.0
1713003792.68,0,0,51.0
1713003794.69,0,0,51.5
1713003796.69,0,0,69.0
1713003798.69,0,0,57.5
1713003800.66,0,0,57.5
1713003802.68,0,0,52.0
1713003804.68,0,0,54.0
1713003806.68,0,0,51.0
1713003808.7,0,0,53.5
1713003810.67,0,0,53.5
1713003812.68,0,0,63.0
1713003814.69,0,0,49.5
1713003816.68,0,0,50.5
1713003818.73,0,0,46.0
1713003820.66,0,0,46.0
1713003822.68,0,0,52.5
1713003824.72,0,0,56.5
1713003826.68,0,0,52.0
1713003828.69,0,0,55.5
1713003830.68,0,0,55.5
1713003832.68,0,0,63.0
1713003834.69,0,0,61.5
1713003836.74,0,0,51.5
1713003838.67,0,0,51.5
1713003840.68,0,0,57.0
1713003842.68,0,0,53.0
1713003844.68,0,0,52.0
1713003846.69,0,0,59.0
1713003848.67,0,0,59.0
1713003850.68,0,0,57.5
1713003852.68,0,0,49.5
1713003854.68,0,0,66.0
1713003856.67,0,0,66.0
1713003858.68,0,0,51.5
1713003860.68,0,0,51.5
1713003862.68,0,0,62.0
1713003864.69,0,0,49.5
1713003866.66,0,0,49.5
1713003868.68,0,0,70.5
1713003870.68,0,0,61.5
1713003872.68,0,0,49.5
1713003874.68,0,0,50.0
1713003876.66,0,0,50.0
1713003878.69,0,0,60.0
1713003880.68,0,0,60.0
1713003882.7,0,0,48.0
1713003884.66,0,0,48.0
1713003886.68,0,0,66.5
1713003888.7,0,0,62.0
1713003890.69,0,0,62.5
1713003892.68,0,0,51.5
1713003894.66,0,0,51.5
1713003896.68,0,0,50.5
1713003898.7,0,0,63.0
1713003900.68,0,0,58.5
1713003902.68,0,0,60.0
1713003904.66,0,0,60.0
1713003906.68,0,0,63.0
1713003908.7,0,0,50.5
1713003910.69,0,0,48.5
1713003912.66,0,0,48.5
1713003914.68,0,0,61.0
1713003916.68,0,0,59.0
1713003918.69,0,0,62.5
1713003920.68,0,0,60.5
1713003922.66,0,0,60.5
1713003924.68,0,0,52.0
1713003926.68,0,0,59.0
1713003928.69,0,0,54.5
1713003930.69,0,0,69.0
1713003932.66,0,0,69.0
1713003934.68,0,0,44.5
1713003936.68,0,0,55.0
1713003938.69,0,0,53.5
1713003940.66,0,0,53.5
1713003942.68,0,0,60.0
1713003944.69,0,0,63.5
1713003946.68,0,0,62.5
1713003948.69,0,0,59.0
1713003950.66,0,0,59.0
1713003952.68,0,0,61.5
1713003954.68,0,0,51.0
1713003956.68,0,0,56.0
1713003958.66,0,0,56.0
1713003960.69,0,0,52.5
1713003962.68,0,0,57.5
1713003964.68,0,0,50.5
1713003966.68,0,0,64.0
1713003968.68,0,0,64.0
1713003970.68,0,0,56.0
1713003972.68,0,0,56.5
1713003974.68,0,0,46.0
1713003976.68,0,0,65.5
1713003978.7,0,0,65.5
1713003980.68,0,0,61.0
1713003982.69,0,0,59.5
1713003984.68,0,0,66.0
1713003986.66,0,0,66.0
1713003988.68,0,0,62.5
1713003990.68,0,0,67.0
1713003992.68,0,0,61.5
1713003994.68,0,0,60.0
1713003996.66,0,0,60.0
1713003998.7,0,0,58.5
1713004000.68,0,0,52.0
1713004002.68,0,0,66.5
1713004004.66,0,0,66.5
1713004006.69,0,0,59.0
1713004008.69,0,0,53.0
1713004010.68,0,0,63.5
1713004012.68,0,0,56.5
1713004014.66,0,0,56.5
1713004016.68,0,0,52.0
1713004018.69,0,0,54.5
1713004020.69,0,0,63.0
1713004022.69,0,0,56.5
1713004024.68,0,0,56.5
1713004026.69,0,0,50.5
1713004028.69,0,0,65.5
1713004030.68,0,0,54.0
1713004032.66,0,0,54.0
1713004034.69,0,0,53.5
1713004036.69,0,0,46.0
1713004038.69,0,0,54.5
1713004040.68,0,0,56.0
1713004042.66,0,0,56.0
1713004044.68,0,0,60.0
1713004046.68,0,0,65.5
1713004048.7,0,0,54.5
1713004050.66,0,0,54.5
1713004052.69,0,0,47.0
1713004054.69,0,0,52.0
1713004056.68,0,0,49.0
1713004058.7,0,0,52.5
1713004060.66,0,0,52.5
1713004062.68,0,0,52.0
1713004064.68,0,0,53.0
1713004066.68,0,0,54.5
1713004068.7,0,0,62.5
1713004070.67,0,0,62.5
1713004072.69,0,0,56.5
1713004074.69,0,0,61.0
1713004076.68,0,0,57.0
1713004078.68,0,0,57.0
1713004080.69,0,0,50.5
1713004082.68,0,0,53.0
1713004084.68,0,0,58.5
1713004086.68,0,0,59.5
1713004088.68,0,0,59.5
1713004090.68,0,0,61.5
1713004092.68,0,0,59.5
1713004094.68,0,0,52.5
1713004096.68,0,0,48.0
1713004098.67,0,0,48.0
1713004100.68,0,0,59.0
1713004102.68,0,0,52.5
1713004104.68,0,0,57.0
1713004106.67,0,0,57.0
1713004108.68,0,0,48.5
1713004110.68,0,0,50.5
1713004112.68,0,0,54.5
1713004114.68,0,0,56.5
1713004116.66,0,0,56.5
1713004118.69,0,0,53.5
1713004120.68,0,0,45.0
1713004122.68,0,0,52.0
1713004124.68,0,0,49.5
1713004126.66,0,0,49.5
1713004128.68,0,0,45.5
1713004130.68,0,0,61.0
1713004132.68,0,0,56.5
1713004134.66,0,0,56.5
1713004136.68,0,0,58.0
1713004138.7,0,0,53.5
1713004140.68,0,0,58.5
1713004142.68,0,0,61.0
1713004144.66,0,0,61.0
1713004146.68,0,0,60.5
1713004148.69,0,0,59.5
1713004150.68,0,0,54.0
1713004152.66,0,0,54.0
1713004154.68,0,0,55.0
1713004156.69,0,0,56.5
1713004158.69,0,0,51.0
1713004160.68,0,0,55.5
1713004162.66,0,0,55.5
1713004164.68,0,0,60.5
1713004166.68,0,0,59.0
1713004168.69,0,0,60.5
1713004170.68,0,0,60.0
1713004172.68,0,0,60.0
1713004174.68,0,0,54.5
